"","In","Out","N","heavy_strong","stress_heavy_strong","stressed_strongheavy_cadence","heavy_strong_cadence","stress_high_strong"
"1","X",1,1042,0,0,0,0,0
"2","X",2,81,0,0,1,0,0
"3","X",3,288,0,0,0,0,1
"4","X",4,7,0,0,1,0,1
"5","X",5,28,0,0,0,0,2
"6","X",6,695,1,0,0,0,0
"7","X",7,180,1,0,0,1,0
"8","X",8,39,1,0,1,0,0
"9","X",9,28,1,0,1,1,0
"10","X",10,174,1,0,0,0,1
"11","X",11,56,1,0,0,1,1
"12","X",12,7,1,0,1,0,1
"13","X",13,4,1,0,1,1,1
"14","X",14,16,1,0,0,0,2
"15","X",15,11,1,0,0,1,2
"16","X",16,166,1,1,0,0,0
"17","X",17,7,1,1,1,0,0
"18","X",18,75,1,1,0,0,1
"19","X",19,5,1,1,1,0,1
"20","X",20,7,1,1,0,0,2
"21","X",21,1,1,1,0,0,3
"22","X",22,164,2,0,0,0,0
"23","X",23,184,2,0,0,1,0
"24","X",24,13,2,0,1,0,0
"25","X",25,16,2,0,1,1,0
"26","X",26,36,2,0,0,0,1
"27","X",27,37,2,0,0,1,1
"28","X",28,4,2,0,1,1,1
"29","X",29,1,2,0,0,0,2
"30","X",30,16,2,0,0,1,2
"31","X",31,65,2,1,0,0,0
"32","X",32,24,2,1,0,1,0
"33","X",33,5,2,1,1,0,0
"34","X",34,1,2,1,1,1,0
"35","X",35,59,2,1,0,0,1
"36","X",36,21,2,1,0,1,1
"37","X",37,4,2,1,1,0,1
"38","X",38,3,2,1,1,1,1
"39","X",39,9,2,1,0,0,2
"40","X",40,6,2,1,0,1,2
"41","X",41,1,2,1,1,0,2
"42","X",42,4,2,2,0,0,0
"43","X",43,5,2,2,0,0,1
"44","X",44,1,2,2,0,0,2
"45","X",45,15,3,0,0,0,0
"46","X",46,76,3,0,0,1,0
"47","X",47,4,3,0,1,0,0
"48","X",48,6,3,0,1,1,0
"49","X",49,4,3,0,0,1,1
"50","X",50,3,3,0,0,1,2
"51","X",51,11,3,1,0,0,0
"52","X",52,5,3,1,0,1,0
"53","X",53,1,3,1,1,1,0
"54","X",54,10,3,1,0,0,1
"55","X",55,11,3,1,0,1,1
"56","X",56,3,3,1,1,1,1
"57","X",57,1,3,1,0,1,2
"58","X",58,1,3,2,0,0,0
"59","X",59,2,3,2,0,0,1
"60","X",60,2,3,2,0,1,1
"61","X",61,5,4,0,0,1,0
"62","X",62,1,4,0,0,1,1
"63","X",63,2,4,1,0,1,0
"64","X",64,1,4,1,0,0,1
"65","X",65,11,4,1,0,1,1
